"BehaviorSpace results (NetLogo 6.2.0)"
"code (4).nlogo"
"WaitingTime"
"01/28/2021 15:45:31:492 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","distancing?","spread-decease?","threshold-attendance","numberOfPeople","max-patience","r-distance","[step]","waitingTime"
"6","true","false","6","121","100","1.5","97","0"
"1","true","false","6","121","50","1.5","71","77"
"5","true","false","6","121","100","1.5","90","0"
"3","true","false","6","121","50","1.5","74","76"
"4","true","false","6","121","100","1.5","90","0"
"6","true","false","6","121","100","1.5","98","0"
"2","true","false","6","121","50","1.5","77","57"
"1","true","false","6","121","50","1.5","72","77"
"5","true","false","6","121","100","1.5","91","0"
"3","true","false","6","121","50","1.5","75","76"
"6","true","false","6","121","100","1.5","99","0"
"2","true","false","6","121","50","1.5","78","57"
"1","true","false","6","121","50","1.5","73","77"
"5","true","false","6","121","100","1.5","92","0"
"4","true","false","6","121","100","1.5","91","0"
"3","true","false","6","121","50","1.5","76","76"
"2","true","false","6","121","50","1.5","79","57"
"6","true","false","6","121","100","1.5","100","36"
"5","true","false","6","121","100","1.5","93","0"
"3","true","false","6","121","50","1.5","77","76"
"1","true","false","6","121","50","1.5","74","77"
"4","true","false","6","121","100","1.5","92","0"
"6","true","false","6","121","100","1.5","101","38"
"5","true","false","6","121","100","1.5","94","0"
"2","true","false","6","121","50","1.5","80","57"
"3","true","false","6","121","50","1.5","78","76"
"6","true","false","6","121","100","1.5","102","38"
"4","true","false","6","121","100","1.5","93","0"
"5","true","false","6","121","100","1.5","95","0"
"6","true","false","6","121","100","1.5","103","38"
"3","true","false","6","121","50","1.5","79","76"
"1","true","false","6","121","50","1.5","75","77"
"2","true","false","6","121","50","1.5","81","57"
"6","true","false","6","121","100","1.5","104","38"
"4","true","false","6","121","100","1.5","94","0"
"3","true","false","6","121","50","1.5","80","76"
"5","true","false","6","121","100","1.5","96","0"
"1","true","false","6","121","50","1.5","76","77"
"2","true","false","6","121","50","1.5","82","57"
"6","true","false","6","121","100","1.5","105","38"
"3","true","false","6","121","50","1.5","81","76"
"6","true","false","6","121","100","1.5","106","38"
"5","true","false","6","121","100","1.5","97","0"
"1","true","false","6","121","50","1.5","77","77"
"2","true","false","6","121","50","1.5","83","57"
"4","true","false","6","121","100","1.5","95","0"
"6","true","false","6","121","100","1.5","107","38"
"3","true","false","6","121","50","1.5","82","76"
"2","true","false","6","121","50","1.5","84","57"
"1","true","false","6","121","50","1.5","78","77"
"6","true","false","6","121","100","1.5","108","38"
"4","true","false","6","121","100","1.5","96","0"
"2","true","false","6","121","50","1.5","85","57"
"3","true","false","6","121","50","1.5","83","76"
"1","true","false","6","121","50","1.5","79","77"
"5","true","false","6","121","100","1.5","98","0"
"4","true","false","6","121","100","1.5","97","0"
"2","true","false","6","121","50","1.5","86","57"
"1","true","false","6","121","50","1.5","80","77"
"5","true","false","6","121","100","1.5","99","0"
"4","true","false","6","121","100","1.5","98","0"
"6","true","false","6","121","100","1.5","109","38"
"6","true","false","6","121","100","1.5","110","38"
"5","true","false","6","121","100","1.5","100","53"
"1","true","false","6","121","50","1.5","81","77"
"3","true","false","6","121","50","1.5","84","76"
"4","true","false","6","121","100","1.5","99","0"
"6","true","false","6","121","100","1.5","111","38"
"1","true","false","6","121","50","1.5","82","77"
"3","true","false","6","121","50","1.5","85","76"
"5","true","false","6","121","100","1.5","101","55"
"6","true","false","6","121","100","1.5","112","38"
"4","true","false","6","121","100","1.5","100","50"
"2","true","false","6","121","50","1.5","87","57"
"6","true","false","6","121","100","1.5","113","38"
"3","true","false","6","121","50","1.5","86","76"
"1","true","false","6","121","50","1.5","83","77"
"2","true","false","6","121","50","1.5","88","57"
"4","true","false","6","121","100","1.5","101","54"
"5","true","false","6","121","100","1.5","102","55"
"6","true","false","6","121","100","1.5","114","38"
"3","true","false","6","121","50","1.5","87","76"
"6","true","false","6","121","100","1.5","115","38"
"4","true","false","6","121","100","1.5","102","55"
"5","true","false","6","121","100","1.5","103","56"
"2","true","false","6","121","50","1.5","89","57"
"3","true","false","6","121","50","1.5","88","76"
"6","true","false","6","121","100","1.5","116","38"
"5","true","false","6","121","100","1.5","104","56"
"6","true","false","6","121","100","1.5","117","38"
"4","true","false","6","121","100","1.5","103","55"
"3","true","false","6","121","50","1.5","89","76"
"6","true","false","6","121","100","1.5","118","38"
